PRESENT_SN,LCLAS_CL,MLSFC_CL,SCLAS_CL,ATRB_SE,WTNNC_SN,NTFC_SN,DGM_NM,DGM_AR,DGM_LT,SIGNGU_SE,DRAWING_NO,CREATE_DAT,SHAPE_AREA,SHAPE_LEN,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
11000UQ181PS201912151339,UQ1200,UQ1210,UQ1212,UQ1212,11000AGZ201904210079,11000NTC201904213460,관리형 주거환경개선사업,29835.80560862,856.54293600,"11000",,2019/12/15,29835.80560860000,856.54293600500,"11110167","11110",충신동,375
11000UQ181PS201912150536,UQ1200,UQ1220,UQ1221,UQ1221,11000AGZ999999997754,,신영1구역주택재개발사업,15551.99138720,595.50214680,"11000",,2019/12/15,15551.99138730000,595.50214680000,"11110185","11110",홍지동,374
11000UQ181PS201912150536,UQ1200,UQ1220,UQ1221,UQ1221,11000AGZ999999997754,,신영1구역주택재개발사업,15551.99138720,595.50214680,"11000",,2019/12/15,15551.99138730000,595.50214680000,"11110185","11110",홍지동,374
11000UQ181PS201912150539,UQ1200,UQ1220,UQ1221,UQ1221,11000AGZ201710198656,11000NTC201709228288,신영제1주택재개발정비구역,15589.26946387,596.74125725,"11000",,2019/12/15,15589.26946390000,596.74125725400,"11110185","11110",홍지동,374
11000UQ181PS201912150539,UQ1200,UQ1220,UQ1221,UQ1221,11000AGZ201710198656,11000NTC201709228288,신영제1주택재개발정비구역,15589.26946387,596.74125725,"11000",,2019/12/15,15589.26946390000,596.74125725400,"11110185","11110",홍지동,374
11000UQ181PS201912150927,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ200402054261,11000NTC200402055681,세운재정비촉진지구4구역도시환경정,33244.50366893,722.01538040,"11000",,2019/12/15,33244.50366890000,722.01538040300,"11110154","11110",장사동,368
11000UQ181PS202407190019,UQ5100,UQ5140,,UQ5140,11000AGZ202311290019,11000NTC202407080002,2구역,38851.25800900,786.17084540,"11000",,2024/07/19,38851.25837940000,786.17094193400,"11110154","11110",장사동,368
11000UQ181PS201912150927,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ200402054261,11000NTC200402055681,세운재정비촉진지구4구역도시환경정,33244.50366893,722.01538040,"11000",,2019/12/15,33244.50366890000,722.01538040300,"11110154","11110",장사동,368
11000UQ181PS201912150048,UQ5100,UQ5120,,UQ5120,11000AGZ201809200109,11000NTC201806212805,세운재정비촉진지구(중심지형),416826.25452197,4297.76381886,"11000",,2019/12/15,416826.25452199997,4297.76381886000,"11110154","11110",장사동,368
11000UQ181PS201912150048,UQ5100,UQ5120,,UQ5120,11000AGZ201809200109,11000NTC201806212805,세운재정비촉진지구(중심지형),416826.25452197,4297.76381886,"11000",,2019/12/15,416826.25452199997,4297.76381886000,"11110154","11110",장사동,368
11110UQ181PS202405270001,UQ1200,UQ1220,UQ1222,UQ1222,11110AGZ202304250001,11110NTC202402050004,관수동일대도시정비형재개발구역,41304.50669612,802.16311962,"11110",,2024/05/27,41304.50667710000,802.16313244000,"11110154","11110",장사동,368
11110UQ181PS202503240001,UQ1200,UQ1230,UQ1232,UQ1232,11110AGZ202501070001,11110NTC202502240002,관수동구역 제3지구 도시정비형 재개발구역,4711.93781751,400.46532887,"11110",,2025/03/24,4711.93760250000,400.46522861400,"11110154","11110",장사동,368
11000UQ181PS202407190013,UQ5140,UQ5140,,UQ5140,11000AGZ202311290013,11000NTC202407080002,1-1구역,5801.24570503,321.10069322,"11000",,2024/07/19,5801.24574716000,321.10062624600,"11110154","11110",장사동,368
11000UQ181PS202407190040,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202311290040,11000NTC202407080002,4구역,32157.01387434,696.17396582,"11000",,2024/07/19,32157.01249090000,696.17391574200,"11110154","11110",장사동,368
11000UQ181PS201912151792,UQ1900,,,UQ1900,11000AGZ195312085235,11000NTC195312089944,관철(중앙1지구)토지구획정리사업,83095.91854463,1704.56754647,"11000",,2019/12/15,83095.91854460000,1704.56754647000,"11110135","11110",관철동,367
11000UQ181PS201912151792,UQ1900,,,UQ1900,11000AGZ195312085235,11000NTC195312089944,관철(중앙1지구)토지구획정리사업,83095.91854463,1704.56754647,"11000",,2019/12/15,83095.91854460000,1704.56754647000,"11110135","11110",관철동,367
11000UQ181PS202212230005,UQ1200,UQ1220,UQ1222,UQ1222,11000AGZ202212210002,11110NTC202212210002,돈의문1재정비촉진구역,152595.23968063,2321.74990442,"11000",,2022/12/23,152595.23968100001,2321.74990442000,"11110177","11110",평동,366
